iter	Logloss
0	0.6884003859
1	0.6840188833
2	0.678910945
3	0.6748041006
4	0.6706299415
5	0.6662098811
6	0.6619731023
7	0.6578933129
8	0.653553772
9	0.6496072622
10	0.6456241314
11	0.6417654184
12	0.6380851159
13	0.6344083346
14	0.6302233769
15	0.6266272912
16	0.6228191669
17	0.6194484417
18	0.6160054133
19	0.612642611
20	0.6092335628
21	0.6060329731
22	0.6027327317
23	0.5991830679
24	0.595968804
25	0.5929157551
26	0.5899473924
27	0.5868595417
28	0.5838476915
29	0.5808789767
30	0.5779809218
31	0.5748380808
32	0.5719362112
33	0.5690086952
34	0.5661171546
35	0.5634775015
36	0.5606673021
37	0.5576421884
38	0.5548615676
39	0.5519804734
40	0.5494850746
41	0.5467839168
42	0.5443882869
43	0.541880857
44	0.5394460825
45	0.5368503864
46	0.5344746516
47	0.5317474952
48	0.5293710562
49	0.5269297086
50	0.5247802734
51	0.5226605929
52	0.5202087989
53	0.5180169326
54	0.5157179612
55	0.5133303129
56	0.5111643865
57	0.5089697618
58	0.5070332454
59	0.5051317068
60	0.5030354426
61	0.5011583768
62	0.4992015545
63	0.4972824097
64	0.4954839853
65	0.4935641362
66	0.4915654696
67	0.4893101912
68	0.487408682
69	0.4854201977
70	0.4837408213
71	0.482099357
72	0.4802312998
73	0.4784014188
74	0.4765522883
75	0.4747648386
76	0.4729383322
77	0.4711120899
78	0.4688412593
79	0.4674123324
80	0.4658288222
81	0.4642289969
82	0.4625713642
83	0.4610240349
84	0.4592307751
85	0.4578795506
86	0.4564153818
87	0.4550449371
88	0.4537162781
89	0.4522669866
90	0.450719628
91	0.4490916325
92	0.4475021949
93	0.4461382939
94	0.4449499864
95	0.443799415
96	0.4420243777
97	0.4405844762
98	0.4394694989
99	0.4383442218
100	0.4371307373
101	0.4358823336
102	0.4346588722
103	0.4336339217
104	0.4326222346
105	0.4314638285
106	0.430151866
107	0.4288250263
108	0.4277434129
109	0.4267054925
110	0.4256936293
111	0.4245883648
112	0.4236402952
113	0.4224081773
114	0.4215268649
115	0.4206574073
116	0.4197951977
117	0.4189520029
118	0.4179237659
119	0.416808055
120	0.4157098037
121	0.4143818195
122	0.4135825524
123	0.4123653412
124	0.4114897801
125	0.410200119
126	0.4090941209
127	0.4081204928
128	0.4072277363
129	0.4060761672
130	0.4052078834
131	0.404369501
132	0.4034973731
133	0.4028212034
134	0.4020901607
135	0.4014315385
136	0.4006624075
137	0.3999447456
138	0.3990574176
139	0.3982976473
140	0.3974433312
141	0.3966840597
142	0.3958745516
143	0.3949697935
144	0.3941250141
145	0.3930938134
146	0.3924061115
147	0.3918484614
148	0.3911000765
149	0.3903761644
150	0.3895780417
151	0.3888752571
152	0.388200085
153	0.3875398489
154	0.386882019
155	0.3861834893
156	0.3853465447
157	0.3846135653
158	0.3839737525
159	0.3835000845
160	0.3827646109
161	0.3820593027
162	0.3814152057
163	0.3805590703
164	0.3798488324
165	0.3792661227
166	0.3788281954
167	0.3781700721
168	0.3775845454
169	0.3770333217
170	0.3763019855
171	0.3755960024
172	0.3750295786
173	0.3743973365
174	0.3737543546
175	0.3733025184
176	0.3726045462
177	0.3719512353
178	0.3711834541
179	0.3705682901
180	0.3700567392
181	0.3692487277
182	0.3687002035
183	0.3681251819
184	0.3674736316
185	0.3668973776
186	0.366382951
187	0.3658285288
188	0.3651995145
189	0.3647256704
190	0.3641886491
191	0.3638298035
192	0.3632607974
193	0.3626308735
194	0.3619607779
195	0.3614210862
196	0.3610770886
197	0.360526393
198	0.3601282266
199	0.3596130371
200	0.3592504648
201	0.3589179406
202	0.3585298098
203	0.3580555842
204	0.3575110215
205	0.357202794
206	0.3568514897
207	0.356387916
208	0.3558561178
209	0.3552948878
210	0.3550598438
211	0.3545880831
212	0.3540732164
213	0.3536407764
214	0.3533259172
215	0.3530012571
216	0.3527273031
217	0.3524533785
218	0.351923253
219	0.3516331599
220	0.3511877794
221	0.3506372012
222	0.3501947256
223	0.3496239882
224	0.3494308178
225	0.3489812117
226	0.3485035823
227	0.348061811
228	0.3477748577
229	0.3473504873
230	0.3469355363
231	0.3467062437
232	0.3464446728
233	0.3459281921
234	0.3455179068
235	0.3450316502
236	0.3448542668
237	0.344381215
238	0.3441479903
239	0.3439331055
240	0.3437518193
241	0.3435286889
242	0.3431346893
243	0.3428048941
244	0.3426573827
245	0.3422153766
246	0.3420722081
247	0.3416896527
248	0.3415122692
249	0.3411527487
250	0.3409595196
251	0.3406021998
252	0.3403588808
253	0.3400346609
254	0.3396565364
255	0.3392598959
256	0.3391139984
257	0.3387668316
258	0.3384680234
259	0.33795301
260	0.3378344022
261	0.3375799326
262	0.3371627221
263	0.337046902
264	0.3367782006
265	0.3365133726
266	0.3364048591
267	0.3361227769
268	0.3358329186
269	0.3354873657
270	0.3353039375
271	0.3348866096
272	0.334576416
273	0.3343637026
274	0.3339968168
275	0.3336178706
276	0.3332559145
277	0.3329362136
278	0.3325789232
279	0.3320943392
280	0.3317793626
281	0.3314596323
282	0.3310251089
283	0.3307547643
284	0.3305649684
285	0.3301699125
286	0.3299501859
287	0.3296453623
288	0.3293849065
289	0.329034013
290	0.3288174556
291	0.3285093454
292	0.3282178732
293	0.3278776609
294	0.3276387435
295	0.3275293204
296	0.3273435152
297	0.3272102943
298	0.3270815042
299	0.3267937587
300	0.3264182751
301	0.3261234283
302	0.3258679903
303	0.3256050697
304	0.3251589262
305	0.3249338003
306	0.3246612255
