Id,loan_date,loan_duration,loan_payments,Predicted,account_district_code,account_frequency,account_date,account_district_name,account_district_region,account_district_no_inhabitants,account_district_no_municipalities_0_499,account_district_no_municipalities_500_1999,account_district_no_municipalities_2000_9999,account_district_no_municipalities_10000_plus,account_district_no_cities,account_district_ratio_urban_inhabitants,account_district_average_salary,account_district_unemployment_rate_95,account_district_unemployment_rate_96,account_district_no_enterpreneurs_per_1000_inhabitants,account_district_no_crimes_95,account_district_no_crimes_96,owner_district_code,owner_card_type,owner_card_issued,owner_district_name,owner_district_region,owner_district_no_inhabitants,owner_district_no_municipalities_0_499,owner_district_no_municipalities_500_1999,owner_district_no_municipalities_2000_9999,owner_district_no_municipalities_10000_plus,owner_district_no_cities,owner_district_ratio_urban_inhabitants,owner_district_average_salary,owner_district_unemployment_rate_95,owner_district_unemployment_rate_96,owner_district_no_enterpreneurs_per_1000_inhabitants,owner_district_no_crimes_95,owner_district_no_crimes_96,disponent_district_code,disponent_district_name,disponent_district_region,disponent_district_no_inhabitants,disponent_district_no_municipalities_0_499,disponent_district_no_municipalities_500_1999,disponent_district_no_municipalities_2000_9999,disponent_district_no_municipalities_10000_plus,disponent_district_no_cities,disponent_district_ratio_urban_inhabitants,disponent_district_average_salary,disponent_district_unemployment_rate_95,disponent_district_unemployment_rate_96,disponent_district_no_enterpreneurs_per_1000_inhabitants,disponent_district_no_crimes_95,disponent_district_no_crimes_96,count_trans_credits,count_trans_withdrawals,count_trans_credit_cash,count_trans_withdrawal_cash,count_trans_withdrawal_card,count_trans_collection_other_bank,count_trans_remittance_other_bank,count_trans_ksymbol_interest_credited,count_trans_ksymbol_household,count_trans_ksymbol_payment_for_statement,count_trans_ksymbol_insurance_payment,count_trans_ksymbol_sanction_interest_if_negative_balance,count_trans_ksymbol_oldage_pension,last_trans_balance,mean_trans_balance,mean_trans_amount_absolute,mean_trans_amount_credit,mean_trans_amount_withdrawal,mean_trans_amount_signed,owner_male,owner_birthdate,disponent_male,disponent_birthdate
5314,930705,12,8033,1,30,weekly issuance,930322,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,30,no card,,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,,,,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,0,0,0,0,0,20100.0,12250.0,5025.0,5025.0,,5025.0,0,470722,,
5316,930711,36,4610,0,46,monthly issuance,930213,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,46,no card,,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,,,,,,,,,,,,,,,,,17,20,12,12,0,0,8,5,2,3,0,0,0,52208.9,52083.859459459454,11015.635135135135,13523.158823529411,8884.240000000002,1411.0513513513513,1,680722,,
6863,930728,60,2118,0,45,monthly issuance,930208,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,45,no card,,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,,,,,,,,,,,,,,,,,15,9,2,6,0,5,3,8,1,0,0,0,0,20272.8,30060.954166666666,5417.458333333333,5009.733333333334,6097.0,844.7083333333331,1,360602,,
5325,930803,36,2939,0,12,monthly issuance,930130,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,14,no card,,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,,,,,,,,,,,,,,,,,13,12,2,10,0,6,2,5,2,2,0,0,0,34307.3,41297.48,8253.080000000002,9254.600000000002,7168.100000000001,1371.7040000000002,0,400420,,
7240,930906,60,4579,0,1,weekly issuance,930214,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,no card,,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,,,,,,,,,,,,,,,,,13,14,1,11,0,6,3,6,1,2,0,0,0,41112.9,57188.21111111111,18945.966666666667,21255.930769230767,16801.0,1522.7074074074071,1,780907,,
6687,930913,24,3660,0,13,monthly issuance,930512,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,13,no card,,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,13.0,Rakovnik,central Bohemia,53921.0,61.0,22.0,1.0,1.0,2.0,41.3,8598.0,2.77,3.26,123.0,1597,1875.0,14,3,2,3,0,4,0,8,0,0,0,0,0,43847.8,46318.55294117647,9496.929411764706,7331.9857142857145,19600.0,2579.2823529411767,0,800216,1.0,851019.0
7284,930915,12,4399,0,15,monthly issuance,930114,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,15,no card,,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,,,,,,,,,,,,,,,,,21,22,14,14,0,0,8,7,4,3,0,0,0,21029.0,22198.17906976744,3714.8976744186048,4304.038095238096,3152.536363636363,489.0465116279069,1,730216,,
6111,930924,24,7281,1,24,monthly issuance,930414,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,24,no card,,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,,,,,,,,,,,,,,,,,16,16,11,16,0,0,0,5,4,3,0,0,0,58140.9,37485.45625,11557.95,13374.849999999999,9741.05,1816.9000000000003,0,480812,,
7235,931013,48,3217,0,18,weekly issuance,930420,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,no card,,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,,,,,,,,,,,,,,,,,16,16,10,16,0,0,0,6,0,4,0,0,0,53402.7,46715.8,9740.150000000001,11408.9875,8071.3125,1668.8374999999996,0,690525,,
5997,931104,24,4876,0,14,monthly issuance,930620,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,14,no card,,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,,,,,,,,,,,,,,,,,9,4,1,4,0,4,0,4,0,0,0,0,0,53193.5,44131.16923076923,14122.576923076924,13154.833333333334,16300.0,4091.8076923076924,1,351003,,
