Id,loan_date,loan_duration,loan_payments,Predicted,account_frequency,account_district_region,account_district_no_inhabitants,account_district_no_municipalities_0_499,account_district_no_municipalities_500_1999,account_district_no_municipalities_2000_9999,account_district_no_municipalities_10000_plus,account_district_no_cities,account_district_ratio_urban_inhabitants,account_district_average_salary,account_district_unemployment_rate_95,account_district_unemployment_rate_96,account_district_no_enterpreneurs_per_1000_inhabitants,account_district_no_crimes_95,account_district_no_crimes_96,owner_card_type,owner_district_region,owner_district_no_inhabitants,owner_district_no_municipalities_0_499,owner_district_no_municipalities_500_1999,owner_district_no_municipalities_2000_9999,owner_district_no_municipalities_10000_plus,owner_district_no_cities,owner_district_ratio_urban_inhabitants,owner_district_average_salary,owner_district_unemployment_rate_95,owner_district_unemployment_rate_96,owner_district_no_enterpreneurs_per_1000_inhabitants,owner_district_no_crimes_95,owner_district_no_crimes_96,count_trans_credits,count_trans_withdrawals,count_trans_credit_cash,count_trans_withdrawal_cash,count_trans_withdrawal_card,count_trans_collection_other_bank,count_trans_remittance_other_bank,count_trans_ksymbol_interest_credited,count_trans_ksymbol_household,count_trans_ksymbol_payment_for_statement,count_trans_ksymbol_insurance_payment,count_trans_ksymbol_sanction_interest_if_negative_balance,count_trans_ksymbol_oldage_pension,last_trans_balance,mean_trans_balance,mean_trans_amount_absolute,mean_trans_amount_credit,mean_trans_amount_withdrawal,mean_trans_amount_signed,owner_male,owner_age,account_age_months,has_disponent,owner_profile
5314,930705,12,8033,1.0,1,7,0.8915193509726546,15,13,8,2,10,0.818,0.7959073284807234,0.0338,0.0366999999999999,0.1,0.0314833565371472,0.029574315487491,0,7,94812,15,13,8,2,10,0.818,9650,0.0338,0.0366999999999999,0.1,0.0314833565371472,0.029574315487491,4,0,4,0,0,0,0,0,0,0,0,0,0,20100.0,12250.0,5025.0,5025.0,0.0,5025.0,0,45,3,0,2
5316,930711,36,4610,0.0,2,3,0.8976412887386354,48,20,7,3,10,0.735,0.7888236110993531,0.0179,0.0231,0.117,0.0253218465251222,0.0232279587255676,0,3,112709,48,20,7,3,10,0.735,8369,0.0179,0.0231,0.117,0.0253218465251222,0.0232279587255676,17,20,12,12,0,0,8,5,2,3,0,0,0,52208.9,52083.859459459454,11015.635135135137,13523.158823529411,8884.240000000002,1411.0513513513513,1,24,4,0,2
6863,930728,60,2118,0.0,2,3,0.8844113332721878,85,19,6,1,5,0.535,0.788949658589715,0.0227999999999999,0.0289,0.132,0.0266950729622547,0.0272341080893771,0,3,77917,85,19,6,1,5,0.535,8390,0.0227999999999999,0.0289,0.132,0.0266950729622547,0.0272341080893771,15,9,2,6,0,5,3,8,1,0,0,0,0,20272.8,30060.954166666663,5417.458333333333,5009.733333333334,6097.0,844.7083333333331,1,57,5,0,2
5325,930803,36,2939,0.0,2,2,0.8960998362576754,84,29,6,1,6,0.58,0.7910780360769514,0.0383,0.0431,0.137,0.0352646704366366,0.0358579771947714,0,6,177686,69,27,10,1,9,0.748,10045,0.0141999999999999,0.0171,0.135,0.0371666873023198,0.0354276645318145,13,12,2,10,0,6,2,5,2,2,0,0,0,34307.3,41297.48,8253.080000000002,9254.600000000002,7168.100000000001,1371.7040000000002,0,53,6,0,2
7240,930906,60,4579,0.0,1,4,0.9704745851034752,0,0,0,1,1,1.0,0.8085329218310151,0.0029,0.0043,0.167,0.0711040181650238,0.0822496811078938,0,0,86513,38,36,5,1,5,0.505,8288,0.0379,0.0452,0.11,0.018055089986476,0.01687607642782,13,14,1,11,0,6,3,6,1,2,0,0,0,41112.9,57188.21111111111,18945.966666666667,21255.930769230767,16801.0,1522.7074074074071,1,14,6,0,2
6687,930913,24,3660,0.0,2,2,0.8705940569485345,61,22,1,1,2,0.413,0.7901786904139423,0.0277,0.0326,0.123,0.0296174032380705,0.0347730939708091,0,2,53921,61,22,1,1,2,0.413,8598,0.0277,0.0326,0.123,0.0296174032380705,0.0347730939708091,14,3,2,3,0,4,0,8,0,0,0,0,0,43847.8,46318.55294117647,9496.929411764706,7331.985714285714,19600.0,2579.2823529411767,0,13,4,1,2
7284,930915,12,4399,0.0,2,6,0.8739016798705742,22,16,7,1,5,0.519,0.7927070143898614,0.0313,0.036,0.124,0.0313796856929042,0.0319579563235594,0,6,58796,22,16,7,1,5,0.519,9045,0.0313,0.036,0.124,0.0313796856929042,0.0319579563235594,21,22,14,14,0,0,8,7,4,3,0,0,0,21029.0,22198.17906976744,3714.8976744186048,4304.038095238096,3152.536363636363,489.0465116279069,1,20,8,0,2
6111,930924,24,7281,1.0,2,7,0.9005741722472175,25,21,6,2,8,0.8,0.7924093635409172,0.0139,0.0200999999999999,0.128,0.042397004967252,0.0430087355121815,0,7,122603,25,21,6,2,8,0.8,8991,0.0139,0.0200999999999999,0.128,0.042397004967252,0.0430087355121815,16,16,11,16,0,0,0,5,4,3,0,0,0,58140.9,37485.45625,11557.95,13374.85,9741.05,1816.9000000000003,0,45,5,0,2
7235,931013,48,3217,0.0,1,6,0.8808252687493013,60,13,2,1,4,0.653,0.7922819562129868,0.0283,0.0335,0.131,0.0246113806418761,0.0270159408195306,0,6,70699,60,13,2,1,4,0.653,8968,0.0283,0.0335,0.131,0.0246113806418761,0.0270159408195306,16,16,10,16,0,0,0,6,0,4,0,0,0,53402.7,46715.8,9740.15,11408.9875,8071.3125,1668.8374999999996,0,24,5,0,2
5997,931104,24,4876,0.0,2,6,0.9131636334277761,69,27,10,1,9,0.748,0.7978738731798376,0.0141999999999999,0.0171,0.135,0.0371666873023198,0.0354276645318145,0,6,177686,69,27,10,1,9,0.748,10045,0.0141999999999999,0.0171,0.135,0.0371666873023198,0.0354276645318145,9,4,1,4,0,4,0,4,0,0,0,0,0,53193.5,44131.16923076923,14122.576923076924,13154.833333333334,16300.0,4091.807692307693,1,58,4,0,2
7121,931110,36,609,0.0,2,0,0.9090343028526868,49,70,18,0,9,0.3389999999999999,0.7910152321246074,0.0187999999999999,0.0243,0.111,0.0232994994969498,0.0247959144687408,0,0,157042,49,70,18,0,9,0.3389999999999999,8743,0.0187999999999999,0.0243,0.111,0.0232994994969498,0.0247959144687408,21,24,12,19,0,0,5,9,5,5,0,0,0,49083.3,34272.21333333333,5957.544444444445,7551.738095238095,4562.625,1090.7444444444443,1,33,9,1,2
6077,931122,24,3317,0.0,2,3,0.8953517897978397,77,26,7,2,7,0.53,0.7881267761478319,0.0279,0.0375999999999999,0.097,0.0205101982841884,0.0220157945571274,0,3,105606,77,26,7,2,7,0.53,8254,0.0279,0.0375999999999999,0.097,0.0205101982841884,0.0220157945571274,22,31,1,31,0,11,0,10,0,6,0,0,0,103745.7,69954.57169811321,17600.358490566035,23558.29090909091,13372.148387096771,1957.4679245283016,1,23,10,0,2
