Id,loan_date,loan_duration,loan_payments,Predicted,account_frequency,account_district_region,account_district_no_inhabitants,account_district_no_municipalities_0_499,account_district_no_municipalities_500_1999,account_district_no_municipalities_2000_9999,account_district_no_municipalities_10000_plus,account_district_no_cities,account_district_ratio_urban_inhabitants,account_district_average_salary,account_district_unemployment_rate_95,account_district_unemployment_rate_96,account_district_no_enterpreneurs_per_1000_inhabitants,account_district_no_crimes_95,account_district_no_crimes_96,owner_card_type,owner_district_region,owner_district_no_inhabitants,owner_district_no_municipalities_0_499,owner_district_no_municipalities_500_1999,owner_district_no_municipalities_2000_9999,owner_district_no_municipalities_10000_plus,owner_district_no_cities,owner_district_ratio_urban_inhabitants,owner_district_average_salary,owner_district_unemployment_rate_95,owner_district_unemployment_rate_96,owner_district_no_enterpreneurs_per_1000_inhabitants,owner_district_no_crimes_95,owner_district_no_crimes_96,count_trans_credits,count_trans_withdrawals,count_trans_credit_cash,count_trans_withdrawal_cash,count_trans_withdrawal_card,count_trans_collection_other_bank,count_trans_remittance_other_bank,count_trans_ksymbol_interest_credited,count_trans_ksymbol_household,count_trans_ksymbol_payment_for_statement,count_trans_ksymbol_insurance_payment,count_trans_ksymbol_sanction_interest_if_negative_balance,count_trans_ksymbol_oldage_pension,last_trans_balance,mean_trans_balance,mean_trans_amount_absolute,mean_trans_amount_credit,mean_trans_amount_withdrawal,mean_trans_amount_signed,owner_male,owner_age,account_age_months,has_disponent,owner_profile
5895,970103,60,1566,,2,3,11.26339943654854,85,19,6,1,5,0.535,9.034795799461252,0.0227999999999999,0.0289,0.132,0.0266950729622547,0.0272341080893771,0,3,77917,85,19,6,1,5,0.535,8390,0.0227999999999999,0.0289,0.132,0.0266950729622547,0.0272341080893771,30,59,16,40,0,0,19,14,9,10,0,0,0,49548.5,54520.20224719101,8051.737078651685,12769.22,5653.016949152542,556.7258426966291,1,34,14,0,2
7122,970104,36,7240,,2,7,10.975071168816319,65,16,4,1,6,0.524,9.061840363657739,0.011,0.0125,0.1,0.0186472602739726,0.0191267123287671,0,7,58400,65,16,4,1,6,0.524,8620,0.011,0.0125,0.1,0.0186472602739726,0.0191267123287671,29,49,14,26,0,0,23,15,6,7,0,1,0,11565.4,31518.18205128205,6935.733333333333,9526.772413793104,5402.261224489796,148.2769230769229,0,47,16,0,2
6173,970108,48,4845,,0,6,12.087773226570878,69,27,10,1,9,0.748,9.214830277249035,0.0141999999999999,0.0171,0.135,0.0371666873023198,0.0354276645318145,0,6,177686,69,27,10,1,9,0.748,10045,0.0141999999999999,0.0171,0.135,0.0371666873023198,0.0354276645318145,43,133,3,72,0,20,61,20,16,16,0,0,0,45754.0,40175.6125,7217.385795454545,15302.486046511627,4603.4060150375935,259.9653409090907,0,57,20,0,2
6142,970121,60,3698,,2,2,11.306442354549127,61,23,4,2,6,0.5529999999999999,9.093694189856862,0.0339,0.0397,0.149,0.0367205940204563,0.030573859166011,0,2,81344,61,23,4,2,6,0.5529999999999999,8899,0.0339,0.0397,0.149,0.0367205940204563,0.030573859166011,21,50,2,26,0,10,24,9,6,5,0,0,0,38913.4,44440.91267605633,6430.80985915493,11797.642857142857,4176.74,548.0774647887326,0,53,10,1,2
5358,970121,12,3210,,2,3,11.471134250908422,87,25,5,2,7,0.591,9.03455739202181,0.0241,0.0294,0.087,0.0172875806771142,0.017391848353092,0,3,95907,87,25,5,2,7,0.591,8388,0.0241,0.0294,0.087,0.0172875806771142,0.017391848353092,52,62,33,46,0,0,16,19,16,15,0,0,0,18914.3,20231.313157894736,2373.2666666666664,2736.026923076923,2069.016129032258,122.75789473684216,1,57,19,0,2
6095,970124,60,1139,,2,2,11.91767698520178,63,29,6,2,6,0.674,9.185330208972015,0.0464,0.0504999999999999,0.109,0.0349849559352338,0.0393080397350109,0,2,149893,63,29,6,2,6,0.674,9753,0.0464,0.0504999999999999,0.109,0.0349849559352338,0.0393080397350109,40,74,21,59,0,0,15,19,15,15,0,0,0,46156.7,41735.4201754386,9042.847368421051,13463.015,6653.567567567568,404.8824561403504,1,43,20,0,2
6878,970124,12,1932,,2,0,11.995067623275627,21,37,20,3,8,0.48,9.073374516903025,0.0373,0.045,0.116,0.0230250564975239,0.0225434382602467,0,0,161954,21,37,20,3,8,0.48,8720,0.0373,0.045,0.116,0.0230250564975239,0.0225434382602467,33,25,15,25,0,0,0,18,0,5,0,0,0,44101.4,36729.80172413793,2701.5034482758624,3018.0060606060606,2283.72,732.7793103448275,0,17,10,0,2
6554,970129,48,8127,,2,3,11.632564554869553,48,20,7,3,10,0.735,9.032289682032873,0.0179,0.0231,0.117,0.0253218465251222,0.0232279587255676,0,3,112709,48,20,7,3,10,0.735,8369,0.0179,0.0231,0.117,0.0253218465251222,0.0232279587255676,10,6,6,6,0,0,0,4,0,0,0,0,0,44278.0,44346.15625,13992.375,13407.8,14966.666666666666,2767.375,1,18,5,1,2
6793,970130,60,3105,,1,0,11.368049970645048,38,36,5,1,5,0.505,9.022563964499264,0.0379,0.0452,0.11,0.018055089986476,0.01687607642782,0,0,86513,38,36,5,1,5,0.505,8288,0.0379,0.0452,0.11,0.018055089986476,0.01687607642782,54,65,31,47,0,0,18,23,9,9,0,0,0,26264.0,62765.8655462185,12880.9243697479,14436.055555555557,11588.969230769231,220.70588235294093,1,49,12,0,2
7286,970131,36,1870,,2,2,11.468095449052434,65,30,4,1,6,0.514,9.13852208418571,0.0385,0.0443,0.118,0.027359437751004,0.0317938420348058,0,2,95616,65,30,4,1,6,0.514,9307,0.0385,0.0443,0.118,0.027359437751004,0.0317938420348058,38,73,7,37,0,16,36,15,12,11,0,0,0,19757.5,26491.78018018018,3749.468468468469,5736.168421052632,2715.2958904109587,177.99819819819817,1,25,16,0,2
6076,970202,60,1957,,2,3,11.234335269196665,31,28,5,1,9,0.608,9.012864567410551,0.0189,0.0226,0.155,0.0219330118253286,0.0280504723525137,0,3,75685,31,28,5,1,9,0.608,8208,0.0189,0.0226,0.155,0.0219330118253286,0.0280504723525137,17,26,10,22,0,0,4,7,2,3,0,0,0,24554.4,40841.79534883721,6893.93953488372,9440.564705882352,5228.838461538462,570.693023255814,1,30,6,0,2
5134,970202,12,4423,,2,6,10.847938050204139,50,11,3,1,4,0.527,9.036225051729327,0.0313,0.0398,0.12,0.0194252158357315,0.0213696818853542,0,6,51428,50,11,3,1,4,0.527,8402,0.0313,0.0398,0.12,0.0194252158357315,0.0213696818853542,26,39,15,33,0,0,6,11,6,7,0,0,0,21065.7,33129.40307692308,5937.387692307693,7826.846153846155,4677.748717948717,324.0892307692309,1,48,10,0,2
5419,970205,60,6930,,2,4,14.001951119996834,0,0,0,1,1,1.0,9.43675855582405,0.0029,0.0043,0.167,0.0711040181650238,0.0822496811078938,0,4,1204953,0,0,0,1,1,1.0,12541,0.0029,0.0043,0.167,0.0711040181650238,0.0822496811078938,18,19,10,19,0,0,0,8,0,5,0,0,0,13495.0,44265.27297297297,12449.364864864863,13169.638888888889,11767.000000000002,364.3378378378378,0,47,9,0,0
