Id,Predicted
4962,0.09
4967,0.75
4968,0.295
4986,0.095
4988,0.75
4989,0.59
4990,0.02
5005,0.205
5015,0.21
5027,0.14
5034,0.06
5036,0.445
5039,0.38
5041,0.045
5042,0.185
5043,0.16
5046,0.535
5051,0.12
5061,0.18
5063,0.625
5072,0.39
5086,0.23
5103,0.11
5110,0.205
5117,0.12
5124,0.275
5134,0.35
5140,0.295
5147,0.17
5154,0.27
5158,0.325
5169,0.125
5172,0.205
5174,0.18
5206,0.185
5207,0.075
5210,0.08
5214,0.27
5221,0.27984375
5226,0.735
5229,0.23
5236,0.18
5241,0.56
5245,0.22
5253,0.525
5260,0.16
5265,0.35484375
5270,0.05
5281,0.225
5287,0.44484375
5293,0.1
5304,0.135
5313,0.035
5318,0.5529999999999999
5320,0.475
5332,0.025
5334,0.195
5338,0.76
5343,0.055
5346,0.32
5354,0.075
5358,0.34
5360,0.105
5363,0.865
5365,0.7
5367,0.365
5368,0.07984375
5369,0.175
5377,0.115
5382,0.085
5384,0.26
5389,0.23484375
5398,0.22
5419,0.475
5420,0.38
5428,0.18
5435,0.1
5446,0.265
5447,0.68
5451,0.395
5463,0.145
5469,0.7
5486,0.18984375
5491,0.5
5501,0.315
5520,0.12
5525,0.235
5526,0.02
5527,0.22984375
5531,0.2299074074074074
5532,0.18
5556,0.415
5561,0.24
5569,0.36
5582,0.07
5584,0.03
5585,0.44984375
5589,0.68984375
5614,0.185
5616,0.34
5620,0.225
5634,0.12
5638,0.55
5643,0.365
5644,0.26
5651,0.055
5656,0.15
5665,0.07
5669,0.08984375
5674,0.32
5681,0.17
5682,0.15484375
5683,0.4197511574074074
5698,0.04990740740740741
5699,0.3
5718,0.05
5719,0.35
5731,0.52
5758,0.69
5760,0.085
5765,0.29
5772,0.235
5773,0.625
5774,0.59
5779,0.35984375
5782,0.29
5784,0.465
5790,0.435
5799,0.225
5808,0.055
5815,0.32
5817,0.88
5823,0.225
5830,0.1549074074074074
5841,0.185
5850,0.15785714285714286
5856,0.56984375
5862,0.005
5865,0.22984375
5868,0.09
5878,0.105
5889,0.165
5893,0.355
5895,0.105
5906,0.235
5909,0.06
5930,0.17
5931,0.57
5932,0.36
5933,0.23285714285714285
5940,0.14984375
5942,0.07
5953,0.27
5956,0.60984375
5963,0.278
5973,0.24285714285714285
5976,0.52
5977,0.13
5991,0.85
5992,0.03
6007,0.30984375
6010,0.39
6014,0.065
6028,0.1
6037,0.075
6044,0.09
6052,0.16
6054,0.4
6055,0.54
6059,0.40484375
6075,0.645
6076,0.10984375
6078,0.05
6083,0.71
6088,0.54984375
6095,0.065
6097,0.095
6104,0.17484375
6113,0.075
6118,0.18
6136,0.485
6142,0.035
6147,0.57
6168,0.24
6173,0.195
6196,0.2647511574074074
6207,0.0949074074074074
6215,0.03
6234,0.025
6235,0.075
6237,0.775
6239,0.525
6242,0.175
6249,0.51
6254,0.53
6255,0.585
6278,0.21
6310,0.165
6312,0.03
6313,0.28
6320,0.125
6321,0.215
6322,0.155
6338,0.325
6346,0.18
6350,0.17800000000000002
6353,0.085
6355,0.3497511574074074
6357,0.09
6377,0.075
6386,0.135
6399,0.07
6402,0.1
6415,0.40984375
6435,0.24785714285714286
6436,0.42
6437,0.46
6442,0.115
6450,0.06
6464,0.135
6468,0.09
6469,0.085
6470,0.19
6486,0.2549074074074074
6490,0.175
6495,0.40984375
6502,0.07
6508,0.295
6534,0.285
6539,0.055
6541,0.07
6544,0.1
6552,0.03490740740740741
6553,0.12
6554,0.315
6562,0.225
6568,0.28484375
6569,0.0997511574074074
6571,0.005
6574,0.2749074074074074
6605,0.115
6607,0.045
6612,0.585
6621,0.09
6625,0.405
6632,0.175
6633,0.2
6641,0.22484375
6643,0.02
6655,0.36
6660,0.18
6665,0.08
6675,0.04
6677,0.24
6682,0.75
6688,0.16
6695,0.27484375
6705,0.25
6727,0.245
6730,0.27
6746,0.52484375
6748,0.51
6753,0.25984375
6755,0.42984375
6758,0.265
6763,0.405
6766,0.13
6790,0.2949074074074074
6791,0.225
6793,0.265
6819,0.25
6821,0.285
6824,0.585
6851,0.73
6852,0.045
6855,0.15
6856,0.675
6857,0.055
6859,0.3747511574074074
6861,0.16484375
6866,0.215
6868,0.3997511574074074
6871,0.2499074074074074
6872,0.4049074074074074
6875,0.23484375
6877,0.16
6878,0.175
6887,0.4649074074074074
6908,0.32484375
6913,0.125
6922,0.355
6923,0.07984375
6926,0.11
6932,0.065
6934,0.6849074074074073
6938,0.08
6942,0.085
6948,0.29
6956,0.395
6959,0.57
6962,0.405
6969,0.115
6970,0.265
6984,0.24
7001,0.075
7035,0.125
7037,0.095
7046,0.6099074074074075
7049,0.165
7050,0.255
7051,0.295
7067,0.24975115740740741
7072,0.01
7085,0.63
7087,0.015
7088,0.035
7091,0.135
7096,0.04984375
7100,0.19984375
7110,0.3699074074074074
7115,0.34
7119,0.295
7122,0.855
7129,0.045
7139,0.03
7147,0.545
7151,0.12990740740740742
7164,0.26076455026455025
7167,0.13
7168,0.215
7171,0.135
7172,0.06
7181,0.425
7187,0.075
7195,0.35
7199,0.115
7200,0.165
7201,0.10484375
7202,0.2797511574074074
7209,0.64
7219,0.02
7221,0.425
7230,0.045
7242,0.165
7250,0.025
7253,0.13
7255,0.38784375
7264,0.13
7277,0.18
7279,0.31484375
7286,0.245
7292,0.09
7294,0.06
7295,0.175
